PMT ID, Time, Charge
13, 336.641039, 1.845703
17, 394.029180, 1.928711
18, 335.818616, 1.616211
20, 336.698785, 4.155273
28, 751.121097, 1.591797
50, 335.995530, 2.119141
59, 350.962061, 3.417969
60, 337.053286, 3.852539
62, 335.912478, 2.163086
63, 385.670429, 1.547852
65, 337.465539, 2.885742
66, 337.058492, 2.988281
68, 359.671705, 3.002930
71, 339.821424, 0.600586
72, 337.872683, 2.377930
73, 336.337289, 9.472656
74, 336.560507, 5.976563
75, 336.934816, 2.929688
78, 371.514967, 3.247070
80, 338.365753, 3.452148
81, 336.721975, 4.765625
83, 337.459056, 3.666992
87, 336.921720, 6.313477
88, 337.158993, 7.094727
94, 337.049690, 1.655273
96, 336.613317, 5.083008
97, 337.293985, 5.170898
99, 336.790005, 1.933594
101, 336.838452, 3.271484
103, 337.630643, 2.045898
104, 336.493500, 2.221680
111, 334.853400, 0.346680
114, 338.345918, 0.473633
116, 335.031100, 1.821289
133, 370.920048, 1.015625
143, 345.312478, 2.138672
151, 349.672216, 2.084961
159, 330.888147, 8.442383
162, 353.222243, 0.942383
186, 347.475359, 1.542969
3, 347.651911, 2.412109
5, 333.790761, 2.338867
6, 342.252531, 1.552734
29, 333.525522, 2.519531
55, 338.839329, 2.255859
59, 592.011128, 0.595703
60, 338.329732, 3.452148
61, 336.157986, 2.226563
65, 337.684700, 1.601562
66, 337.587512, 2.856445
67, 336.389576, 2.851562
68, 336.767679, 4.169922
71, 339.385193, 0.888672
72, 335.908381, 3.125000
73, 337.111532, 4.370117
74, 341.143800, 1.528320
75, 336.496907, 2.905273
78, 339.242007, 0.683594
80, 337.407559, 2.065430
81, 336.971128, 8.403320
83, 338.994927, 1.674805
87, 339.259121, 1.127930
88, 336.866260, 12.749023
91, 338.112745, 2.368164
94, 337.439221, 3.637695
96, 341.993484, 3.051758
97, 336.845165, 2.900391
101, 336.898618, 2.202148
111, 336.633764, 2.363281
118, 448.315862, 2.031250
136, 306.846185, 1.567383
157, 346.373622, 2.734375
168, 365.687212, 2.646484
171, 348.303929, 1.684570
178, 342.128900, 0.839844
186, 347.494900, 2.299805
209, 346.286032, 2.919922
214, 335.703761, 2.187500
5, 347.657410, 1.284180
6, 336.656354, 2.382812
12, 341.688800, 4.130859
13, 336.163864, 5.327148
17, 362.653733, 1.640625
18, 337.803072, 1.977539
20, 336.764782, 2.792969
21, 342.634700, 1.728516
38, 402.574854, 3.300781
52, 335.210621, 2.661133
58, 339.533205, 1.040039
60, 337.157644, 1.713867
63, 342.549386, 2.001953
65, 337.735753, 4.624023
67, 338.036155, 3.828125
68, 337.340666, 8.139648
70, 338.584218, 0.693359
72, 337.936233, 2.690430
73, 337.509663, 4.570312
74, 336.572895, 5.737305
75, 337.294603, 4.624023
78, 337.708164, 1.635742
81, 337.957633, 5.141602
83, 338.170374, 7.690430
85, 337.246709, 6.196289
86, 337.201538, 8.710938
88, 337.163300, 7.182617
94, 337.314121, 5.205078
96, 336.705822, 1.416016
97, 337.435278, 7.524414
101, 337.408505, 2.124023
105, 337.708546, 1.884766
110, 336.519095, 3.906250
111, 368.506733, 1.289062
116, 370.195705, 2.148437
136, 345.918691, 2.070312
145, 351.059000, 1.245117
161, 347.920864, 1.870117
172, 328.019510, 2.348633
182, 434.713445, 1.777344
183, 348.157934, 2.397461
186, 349.400307, 1.616211
188, 300.119535, 1.142578
193, 353.844744, 2.172852
208, 348.040629, 1.923828
210, 371.534000, 1.416016
224, 343.308079, 2.958984
13, 335.398064, 6.162109
18, 336.044423, 2.080078
20, 338.211838, 1.801758
22, 333.484123, 2.158203
23, 336.174843, 2.436523
29, 333.092048, 1.010742
49, 337.912226, 2.680664
59, 336.381558, 3.320312
62, 336.686398, 4.746094
66, 336.588300, 1.411133
67, 336.745152, 9.604492
71, 341.595238, 1.958008
72, 336.996163, 3.681641
73, 337.230687, 7.871094
74, 336.543533, 2.797852
75, 336.876968, 7.177734
78, 392.128843, 0.742187
80, 337.247233, 8.408203
81, 337.635646, 7.797852
83, 337.378107, 2.724609
85, 338.439536, 2.216797
86, 338.350956, 8.559570
87, 337.010700, 3.872070
88, 338.752449, 3.925781
91, 338.680028, 1.757813
94, 354.741200, 1.596680
96, 336.304216, 4.160156
101, 353.235614, 3.505859
103, 335.701600, 2.001953
110, 336.753923, 3.217773
113, 335.865531, 2.475586
144, 344.718583, 1.118164
157, 676.011724, 2.124023
159, 344.340879, 0.278320
160, 346.395579, 2.075195
172, 262.200567, 2.524414
174, 83.148200, 2.045898
176, 344.967079, 1.865234
183, 352.042727, 1.445313
205, -68.509268, 1.157227
206, 346.287069, 2.490234
214, 334.090353, 2.001953
3, 335.713950, 1.459961
